เพศ,ช่วงอายุ,สถานภาพ,กิจกรรมที่ใช้สมาร์ทโฟนมากที่สุด 3 อันดับ,ท่านใช้แอปพลิเคชันใดบ้างเป็นประจำ?,ท่านใช้สมาร์ทโฟนนานเท่าใดในหนึ่งวัน,สมาร์ทโฟนสำคัญในชีวิตประจำวันอย่างไร,ยี่ห้อสมาร์ทโฟนที่ใช้งานในปัจจุบัน,ปัจจัยที่พิจารณาเมื่อซื้อสมาร์ทโฟนออนไลน์มากที่สุด,ความพึงพอใจจากยี่ห้อสมาร์ทโฟนที่ใช้ในปัจจุบัน,ปัญหาในการซื้อสมาร์ทโฟนออนไลน์,รายได้ต่อเดือน,อาชีพ
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Facebook, YouTube, Facebook Messenger",3 - 5 ชั่วโมง,จำเป็น,Samsung,ราคา,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,33-40 ปี,สมรส,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน","Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Huawei,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"20,001 - 30,000 บาท",พนักงานบริษัทเอกชน
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",มากกว่า 5 ชั่วโมง,จำเป็น,Oppo,ฟีเจอร์สินค้า,3,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,XIAOMI,ฟีเจอร์สินค้า,2,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Samsung,รีวิวสินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย","Instagram, YouTube, Spotify, TikTok",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย","Instagram, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,รีวิวสินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,26-35 ปี,โสด,"ประชุมออนไลน์,จัดการตารางงาน,อีเมล",Microsoft Teams,3-5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ระบบนิเวศอุปกรณ์,5,ราคาสูง,"50,001-100,000 บาท",ผู้จัดการ
ชาย,18-25 ปี,นักเรียน/นักศึกษา,"เล่นเกมEsports,สตรีมเกม,แชทชุมชน",Discord,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Realme,ประสิทธิภาพ,4,เครื่องร้อนบ่อย,"น้อยกว่า 15,000 บาท",นักเรียน/นักศึกษา
หญิง,36-45 ปี,สมรส,"ช้อปปิ้งออนไลน์,ตรวจสอบการขนส่ง,แชทลูกค้า",LINE,1-3 ชั่วโมง,จำเป็น,Samsung,ความน่าเชื่อถือ,4,การคืนสินค้ายุ่งยาก,"30,001-50,000 บาท",แม่บ้าน
Lgbtq+,18-25 ปี,โสด,"ถ่ายภาพศิลปะ,ตัดต่อวีดีโอ,อัปโหลดสตอรี่,VSCO",5-6 ชั่วโมง,จำเป็นมากที่สุด,Vivo,คุณภาพเซ็นเซอร์,5,ไม่มี,"20,001-30,000 บาท",ศิลปิน
ชาย,46-55 ปี,สมรส,"อ่านข่าว,ตรวจหุ้น,การเงิน,ตลาดหลักทรัพย์",0-1 ชั่วโมง,ไม่สำคัญ,Oppo,ความเรียบง่าย,3,ระบบล้าสมัย,"100,001-150,000 บาท",นักลงทุน
หญิง,56 ปีขึ้นไป,สมรส,"พูดคุยครอบครัว,อ่านหนังสืออิเล็กทรอนิกส์,ฟังวิทยุ",Facebook,0-1 ชั่วโมง,ไม่สำคัญ,Other,ราคา,2,ไม่มี,"น้อยกว่า 15,000 บาท",เกษียณ
ชาย,26-35 ปี,โสด,"ถ่ายภาพสินค้า,ตัดต่อรีวิว,ตลาดออนไลน์",Shopee,3-5 ชั่วโมง,จำเป็น,XIAOMI,ความคุ้มค่า,4,กล้องไม่คมชัด,"25,001-35,000 บาท",ผู้ขายออนไลน์
หญิง,18-25 ปี,นักเรียน/นักศึกษา,"ติ๊กต็อก,ไลฟ์สตรีม,ค้นหาข้อมูล",TikTok,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,แบรนด์,5,พื้นที่เก็บข้อมูลไม่พอ,"น้อยกว่า 15,000 บาท",นักเรียน/นักศึกษา
ชาย,36-45 ปี,สมรส,"นำทางGPS,ตรวจสอบสภาพรถ,ฟังพอดแคสต์",Google Maps,1-3 ชั่วโมง,จำเป็น,Samsung,ความทนทาน,4,หน้าจอมีจุดตาย,"50,001-100,000 บาท",พนักงานขับส่ง
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย","Instagram, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,รีวิวสินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",มากกว่า 5 ชั่วโมง,จำเป็น,Oppo,รีวิวสินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"Appication บน cloud, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, Facebook Messenger, TikTok, LINE",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"20,001 - 30,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,ฟีเจอร์สินค้า,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,26-32 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",1 - 3 ชั่วโมง,จำเป็น,Apple,รีวิวสินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
หญิง,26-32 ปี,โสด,"ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,รีวิวสินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"20,001 - 30,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",3 - 5 ชั่วโมง,จำเป็น,XIAOMI,ราคา,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,รีวิวสินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook Messenger, TikTok",1 - 3 ชั่วโมง,จำเป็น,Vivo,รีวิวสินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"15,001 - 20,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,XIAOMI,ราคา,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ราคา,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,ราคา,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,26-32 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Samsung,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"30,001 - 40,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,รีวิวสินค้า,3,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,26-32 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม",YouTube,มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"15,001 - 20,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",3 - 5 ชั่วโมง,จำเป็น,Apple,ราคา,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Vivo,ฟีเจอร์สินค้า,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1 - 3 ชั่วโมง,จำเป็น,Realme 7 5G,ฟีเจอร์สินค้า,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",1 - 3 ชั่วโมง,จำเป็น,XIAOMI,รีวิวสินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,ราคา,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,"YouTube, Facebook Messenger, Discord, Wise",มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"มากกว่า 50,001 บาทขึ้นไป",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน","Instagram, Facebook, YouTube, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Oppo,ราคา,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Realme,ฟีเจอร์สินค้า,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Facebook, YouTube, Facebook Messenger",1 - 3 ชั่วโมง,จำเป็น,Oppo,ราคา,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,สมรส,"ดูหนัง / ฟังเพลง, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",1 - 3 ชั่วโมง,จำเป็นมากที่สุด,Samsung,รีวิวสินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",พนักงานโรงงานอุตสาหกรรม
หญิง,26-32 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน","Facebook, Facebook Messenger, Spotify",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,3,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",พนักงานบริษัทเอกชน
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger",3 - 5 ชั่วโมง,จำเป็น,Samsung,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,"Instagram, Facebook, Facebook Messenger, TikTok",1 - 3 ชั่วโมง,จำเป็นมากที่สุด,Oppo,รีวิวสินค้า,3,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,infinix,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,60 ปีขึ้นไป,แยกกันอยู่,"เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",มากกว่า 5 ชั่วโมง,ไม่จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"มากกว่า 50,001 บาทขึ้นไป",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,เล่นเกม,WhatsApp,0 - 1 ชั่วโมง,ไม่จำเป็น,Samsung,ฟีเจอร์สินค้า,2,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"มากกว่า 50,001 บาทขึ้นไป",พนักงานโรงงานอุตสาหกรรม
หญิง,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,"Instagram, Facebook, TikTok",มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,นักเรียน/นักศึกษา,"เล่นเกม,ถ่ายรูป,ดูหนัง",TikTok,0-1 ชั่วโมง,จำเป็น,XIAOMI,ราคา,3,ไม่สามารถสัมผัสสินค้าก่อนซื้อได้,"น้อยกว่า 15,000 บาท",นักเรียน/นักศึกษา
หญิง,26-35 ปี,โสด,"ดูหนัง,ถ่ายรูป,ฟังเพลง",Facebook,1-3 ชั่วโมง,จำเป็น,XIAOMI,ฟีเจอร์สินค้า,2,ความไม่แน่นอนในการรับประกัน,"15,001-20,000 บาท",พนักงานออฟฟิศ
ชาย,26-35 ปี,โสด,"เล่นเกม,สตรีมมิ่ง,ถ่ายรูปถ่ายวีดีโอ",YouTube,3-5 ชั่วโมง,จำเป็นมากที่สุด,Vivo,ฟีเจอร์,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"20,001-30,000 บาท",พนักงานออฟฟิศ
หญิง,18-25 ปี,นักเรียน/นักศึกษา,"โซเชียลมีเดีย,ถ่ายรูปถ่ายวีดีโอ,ดูหนัง/ฟังเพลง",Instagram,มากกว่า 5 ชั่วโมง,จำเป็น,Vivo,ดีไซน์,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน/นักศึกษา
หญิง,36-45 ปี,สมรส,"ติดต่อสื่อสาร/ประชุมงาน,อีเมล,การเงิน",LINE,1-3 ชั่วโมง,ค่อนข้างสำคัญ,Oppo,ราคา,3,การเปรียบเทียบราคายาก,"30,001-50,000 บาท",ธุรกิจส่วนตัว
ชาย,18-25 ปี,นักเรียน/นักศึกษา,"เล่นเกม,สตรีมมิ่ง,โซเชียลมีเดีย",TikTok,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Realme,ประสิทธิภาพ,4,การจัดส่งล่าช้า,"น้อยกว่า 15,000 บาท",นักเรียน/นักศึกษา
หญิง,26-35 ปี,โสด,"ถ่ายรูปถ่ายวีดีโอ,ดูหนัง/ฟังเพลง,ช้อปปิ้งออนไลน์",Shopee,3-5 ชั่วโมง,จำเป็น,XIAOMI,ความคุ้มค่า,5,คุณภาพสินค้าไม่ตรงตามที่โฆษณา,"15,001-20,000 บาท",ฟรีแลนซ์
Lgbtq+,18-25 ปี,โสด,"สตรีมมิ่ง,ถ่ายรูปถ่ายวีดีโอ,แก้ไขวีดีโอ",CapCut,5-6 ชั่วโมง,จำเป็นมากที่สุด,Vivo,กล้อง,4,การรับประกันไม่ครอบคลุม,"น้อยกว่า 15,000 บาท",นักสร้างคอนเทนต์
ชาย,46-55 ปี,สมรส,"อีเมล,ข่าวสาร,การเงิน",Gmail,0-1 ชั่วโมง,ไม่สำคัญ,Oppo,ความทนทาน,2,ไม่มีปัญหา,"50,001-100,000 บาท",ข้าราชการ
หญิง,26-35 ปี,สมรส,"ช้อปปิ้งออนไลน์,โซเชียลมีเดีย,การเงิน",Facebook,1-3 ชั่วโมง,ค่อนข้างสำคัญ,Realme,แบตเตอรี่,4,การคืนสินค้ายุ่งยาก,"20,001-30,000 บาท",แม่บ้าน
หญิง,36-45 ปี,สมรส,"ตรวจสอบการขนส่ง,แชทลูกค้า,อีเมล",Shopee,1 - 3 ชั่วโมง,จำเป็น,Oppo,ความเสถียร,3,ระบบค้างบ่อย,"15,001-20,000 บาท",พนักงานขนส่ง
หญิง,18-25 ปี,โสด,"ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย","Facebook, Facebook Messenger, Line",3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"30,001 - 40,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
ชาย,18-25 ปี,นักเรียน/นักศึกษา,"เล่นเกม,ถ่ายรูป,ดูหนัง",TikTok,0-1 ชั่วโมง,จำเป็น,XIAOMI,ราคา,3,ไม่สามารถสัมผัสสินค้าก่อนซื้อได้,"น้อยกว่า 15,000 บาท",นักเรียน/นักศึกษา
